Date,Open,High,Low,Close,Volume
1985-10-01,110.62,112.16,110.57,112.14,26406897
1985-10-02,112.14,112.54,110.78,110.82,28386207
1985-10-03,110.84,111.18,110.12,110.87,25396552
1985-10-04,110.87,110.87,109.86,110.07,25500000
1985-10-07,110.07,110.14,108.18,108.2,22179310
1985-10-08,108.2,108.27,106.75,107.16,24844828
1985-10-09,107.16,108.99,107.11,108.63,26931034
1985-10-10,108.63,109.51,107.81,109.43,26696552
1985-10-11,109.43,111.12,109.43,111.05,27279310
1985-10-14,111.05,113.27,111.05,113.18,21227586
1985-10-15,113.18,113.98,112.79,113.38,29544828
1985-10-16,113.38,114.34,113.2,114.32,30193103
1985-10-17,114.32,115.34,114.32,114.74,32920690
1985-10-18,114.74,114.96,113.83,114.32,31186207
1985-10-21,114.32,114.46,113.65,113.68,24620690
1985-10-22,113.8,114.89,113.43,114.44,27196552
1985-10-23,114.44,115.53,114.44,115.07,34862069
1985-10-24,115.07,116.11,115.07,115.49,32906897
1985-10-25,115.49,115.54,113.74,113.91,28593103
1985-10-28,113.91,113.91,113.21,113.82,22665517
1985-10-29,113.82,115.74,113.81,115.4,28172414
1985-10-30,115.4,116.12,115.34,115.77,33800000
1985-10-31,115.77,116.11,115.15,115.48,29296552
1985-11-01,115.48,116.78,115.48,116.28,31065517
1985-11-04,116.28,117.07,115.82,116.04,25979310
1985-11-05,116.04,116.57,115.88,116.44,30234483
1985-11-06,116.44,117.62,116.44,117.38,32241379
1985-11-07,117.38,117.96,117.38,117.62,30565517
1985-11-08,117.62,119.39,117.58,119.26,29917241
1985-11-11,119.26,120.54,119.18,120.4,27720690
1985-11-12,120.39,122.01,120.39,121.82,37344828
1985-11-13,121.82,121.92,120.9,121.17,32141379
1985-11-14,121.17,121.92,120.8,121.83,33806897
1985-11-15,121.83,123.1,121.79,122.18,32851724
1985-11-18,122.18,122.28,121.73,121.96,28348276
1985-11-19,121.96,122.8,121.74,122.57,35103448
1985-11-20,122.57,122.79,122.2,122.2,33655172
1985-11-21,122.2,123.81,122.2,123.61,41344828
1985-11-22,123.61,124.33,123.44,123.97,35931034
1985-11-25,123.97,124.17,122.82,123.14,28768966
1985-11-26,123.14,124.25,123.09,123.95,32286207
1985-11-27,123.95,125.88,123.88,125.77,35620690
1985-11-29,125.77,126.43,125.52,126.06,19858621
1985-12-02,126.06,126.28,124.86,125.18,29572414
1985-12-03,125.18,125.42,124.72,125.23,29151724
1985-12-04,125.23,128.05,125.17,127.94,40413793
1985-12-05,128.07,129.89,127.86,128.46,48793103
